filename,PESQ,CSIG,CBAK,COVL,STOI,SSNR
p257_223.wav,3.0103209018707275,4.529502395790233,3.5833592894251836,3.8025623138137887,0.9614546282256782,9.260998139165006
p257_224.wav,3.901411771774292,5.0,4.281669382753295,4.652241126577889,0.9995286038868041,12.946982103136902
p257_225.wav,3.6388614177703857,5.0,4.062324388929061,4.449082872566534,0.9921121973588247,11.2888719160625
p257_226.wav,3.479015827178955,4.81850205894989,3.757646876561018,4.197190852721892,0.9883202904950381,7.847624150336813
p257_227.wav,3.1936373710632324,4.595582512113781,3.7011794788081005,3.9399617009656662,0.8417851486549691,9.21371167148143
p257_228.wav,3.801898717880249,5.0,4.22617169327528,4.556491334529616,0.9356827909503235,12.548597781168995
p257_229.wav,2.955695867538452,4.475234436649298,3.544404992670982,3.7624862474289658,0.9051252192217191,8.417844107401825
p257_230.wav,2.653394937515259,4.227532039170402,3.2662905106055438,3.484854766608599,0.9393755827892146,6.373229566594051
p257_231.wav,1.9627189636230469,3.5416187718383028,2.9506143456151888,2.7967201813905294,0.9050316367646458,6.518147075882805
p257_232.wav,3.329908609390259,4.8016192404862785,3.974916347081509,4.117355941813971,0.9845949968693002,12.257625285721485
p257_233.wav,3.2461280822753906,4.807262000403993,3.583992736834687,4.073870479601867,0.9393439202416565,6.863815820091723
p257_234.wav,2.7315335273742676,4.278087540596035,3.4600878152865913,3.5454268621439473,0.9678493705538452,9.034518566410604
p257_235.wav,2.1739068031311035,3.753290334971509,3.0163455367646668,3.0013047419636445,0.9425370546711354,6.284284276130931
p257_236.wav,3.810542106628418,5.0,4.287308438941157,4.5744652328780315,0.9669584463426034,13.55206009072242
p257_237.wav,3.518049478530884,4.985284327894458,4.107381856026393,4.3047692684670995,0.9921987906899948,12.887722748624634
p257_238.wav,3.6948184967041016,4.968331429687856,4.04950604010245,4.3828286987156195,0.9752465966867682,10.749791720948375
p257_239.wav,2.748974561691284,4.251955073710786,3.524266735176804,3.5454525469696434,0.9540110432934648,9.734913852979563
p257_240.wav,3.3108935356140137,4.839023649831102,3.9311466730256686,4.126288869425248,0.9228644584736662,11.710510166334988
p257_241.wav,2.908977746963501,4.522308051931345,3.515259362039381,3.7563579158680516,0.9849606175292648,8.572260906867719
p257_242.wav,3.115112066268921,4.520349215377789,3.6920176742572113,3.869284944091275,0.9728305241499983,9.38167845181436
p257_243.wav,2.237898349761963,3.8843514866176765,3.2294719210922676,3.101856807145283,0.945349848883441,9.04837847341791
p257_244.wav,3.8224823474884033,5.0,4.212295341680957,4.604926082476398,0.9966057615580364,12.37851458811651
p257_245.wav,3.5340394973754883,5.0,4.043522092761634,4.317850252301836,0.9891835833485535,11.905546761885635
p257_246.wav,3.308546304702759,4.752329004881733,3.909666139121624,4.081949101847678,0.9814779363684105,11.388142887565508
p257_247.wav,2.8625454902648926,4.358113566031045,3.520772294019049,3.652306835375981,0.9371029233552279,8.963866620175464
p257_248.wav,3.704838514328003,5.0,4.32184688201439,4.459195637753229,0.9906896743872954,14.838745421737544
p257_249.wav,2.9010941982269287,4.456131659289219,3.4667828073679696,3.7206760666590193,0.9756711810502874,7.808568836103245
p257_250.wav,3.0887537002563477,4.49510928811016,3.6387298755402195,3.835566589873963,0.9749523157931532,9.0816780834453
p257_251.wav,2.5427329540252686,4.026862476298659,3.320292796005983,3.321087649122248,0.9493425087584882,8.424244995667465
